Votes2010,Turnout.2010,Code
50838,60.9,W07000049
44593,67.2,W07000058
64808,58.2,S14000001
64031,67.2,S14000002
66110,68.4,S14000058
62364,57.5,S14000003
71465,63.5,E14000530
58909,65.6,E14000531
72208,68.4,E14000532
60931,65.5,W07000043
70171,65.5,E14000533
62860,60.4,S14000004
60204,50.7,N06000005
73338,57.8,N06000012
63054,53.9,N06000014
41198,63.3,W07000057
67165,67.3,S14000005
76835,72.9,E14000534
77379,62.3,E14000535
81271,67.9,E14000536
67714,56.8,E14000537
77844,68.3,E14000538
73320,62.6,S14000006
68352,64.2,S14000010
74223,62.1,S14000048
84379,66.7,E14000539
64300,59.8,S14000007
73868,61.4,E14000540
65543,56.5,E14000541
68435,56.1,E14000542
68943,64,E14000543
65515,63.4,E14000544
71874,62.2,E14000933
75473,67.1,E14000545
76513,64.8,E14000546
66686,70.6,E14000547
76738,66.6,E14000548
74311,65.7,E14000549
74982,70,E14000550
66219,72,E14000551
68530,65.8,E14000552
76310,71.9,E14000813
78060,71.2,E14000841
76559,66.3,E14000949
59007,58.4,N06000001
65504,56.5,N06000002
59524,57.4,N06000003
59522,54,N06000004
77628,57.5,E14000553
56578,67.9,E14000554
73826,66.4,S14000008
81243,62.4,E14000555
79318,67.1,E14000556
81032,67.4,E14000557
65015,66.4,E14000558
62773,56.3,E14000559
68573,60.6,E14000560
66405,53.5,E14000561
76580,63.6,E14000562
75040,56.6,E14000563
73646,48.7,E14000564
71338,58.6,E14000565
71304,59,E14000566
74805,62.2,E14000567
72321,56.5,E14000568
68368,60.2,E14000569
72331,62.9,E14000570
69489,49.2,E14000571
66017,61.5,E14000572
63027,55.8,E14000573
52442,61.8,W07000072
67808,66.2,E14000574
62900,61.3,E14000575
70816,66.2,E14000576
72766,60.5,E14000577
66846,64.7,E14000578
69499,57,E14000579
71284,66.7,E14000580
71422,57.8,E14000581
67186,64.2,E14000582
77296,70.2,E14000583
71125,61.9,E14000584
71753,58.1,E14000585
76888,67.8,E14000586
65116,62.1,E14000587
63580,59.8,E14000588
62519,64.9,E14000589
71163,69.1,E14000590
53589,72.5,W07000068
74046,61.2,E14000591
83896,62.3,E14000592
83546,64.4,E14000593
69309,73,E14000594
58700,65.3,W07000073
82180,66.3,E14000595
67345,65.1,E14000596
66015,64.7,E14000597
74009,70,E14000598
69448,64.8,E14000599
73469,68.5,E14000600
78579,61.6,E14000601
82728,66.9,E14000602
72445,72.7,E14000603
65427,67.3,E14000604
73036,70.7,E14000605
71391,64,E14000606
72042,73.2,E14000607
74989,64.5,E14000608
66615,62.8,E14000609
74874,66.5,E14000610
66759,67.3,E14000611
73544,65.6,E14000612
84716,69.3,E14000613
62122,62.3,W07000076
47263,60.9,S14000009
76903,67.3,E14000614
78627,59.3,E14000615
63975,66.4,E14000616
74699,67.1,E14000617
73224,71.1,E14000842
88851,65.6,E14000855
78995,74.8,E14000934
83068,69.3,E14000937
74508,61.1,E14000618
74121,66.4,E14000619
61165,59.1,W07000050
65553,72.7,W07000051
73707,60.2,W07000080
62787,65.2,W07000079
65263,64.7,E14000620
52385,72.6,W07000067
58108,69.7,W07000066
66524,69,E14000621
67284,66.9,E14000622
59882,63.9,W07000064
74473,71.9,E14000625
67964,64.5,E14000626
71635,73.3,E14000627
77525,70.4,E14000628
66257,60.2,E14000629
78998,66.8,E14000630
70333,74.6,E14000631
